"service_id","date","exception_type"
"E17E66F5","20250823","1"
"E17E66F5","20250824","1"
"E17E66F5","20250830","1"
"E17E66F5","20250831","1"
"E17E66F5","20250901","1"
"C9BAA700","20250609","1"
"C9BAA700","20250616","1"
"C9BAA700","20250623","1"
"C9BAA700","20250630","1"
"C9BAA700","20250707","1"
"C9BAA700","20250714","1"
"C9BAA700","20250721","1"
"C9BAA700","20250728","1"
"C9BAA700","20250804","1"
"C9BAA700","20250811","1"
"C9BAA700","20250818","1"
"C9BAA700","20250825","1"
"056C17DB","20250606","1"
"056C17DB","20250613","1"
"056C17DB","20250620","1"
"056C17DB","20250627","1"
"056C17DB","20250703","1"
"056C17DB","20250711","1"
"056C17DB","20250718","1"
"056C17DB","20250725","1"
"056C17DB","20250801","1"
"056C17DB","20250808","1"
"056C17DB","20250815","1"
"056C17DB","20250822","1"
"056C17DB","20250829","1"
"7CCEF5B9","20250605","1"
"7CCEF5B9","20250606","1"
"7CCEF5B9","20250612","1"
"7CCEF5B9","20250613","1"
"7CCEF5B9","20250619","1"
"7CCEF5B9","20250620","1"
"7CCEF5B9","20250626","1"
"7CCEF5B9","20250627","1"
"7CCEF5B9","20250702","1"
"7CCEF5B9","20250703","1"
"7CCEF5B9","20250710","1"
"7CCEF5B9","20250711","1"
"7CCEF5B9","20250717","1"
"7CCEF5B9","20250718","1"
"7CCEF5B9","20250724","1"
"7CCEF5B9","20250725","1"
"7CCEF5B9","20250731","1"
"7CCEF5B9","20250801","1"
"7CCEF5B9","20250807","1"
"7CCEF5B9","20250808","1"
"7CCEF5B9","20250814","1"
"7CCEF5B9","20250815","1"
"7CCEF5B9","20250821","1"
"7CCEF5B9","20250822","1"
"7CCEF5B9","20250828","1"
"7CCEF5B9","20250829","1"
"8ADB21BF","20250605","1"
"8ADB21BF","20250612","1"
"8ADB21BF","20250618","1"
"8ADB21BF","20250619","1"
"8ADB21BF","20250626","1"
"8ADB21BF","20250702","1"
"8ADB21BF","20250710","1"
"8ADB21BF","20250717","1"
"8ADB21BF","20250724","1"
"8ADB21BF","20250731","1"
"8ADB21BF","20250807","1"
"8ADB21BF","20250814","1"
"8ADB21BF","20250821","1"
"8ADB21BF","20250828","1"
"6B2683A1","20250604","1"
"6B2683A1","20250605","1"
"6B2683A1","20250606","1"
"6B2683A1","20250610","1"
"6B2683A1","20250611","1"
"6B2683A1","20250612","1"
"6B2683A1","20250613","1"
"6B2683A1","20250617","1"
"6B2683A1","20250618","1"
"6B2683A1","20250619","1"
"6B2683A1","20250620","1"
"6B2683A1","20250624","1"
"6B2683A1","20250625","1"
"6B2683A1","20250626","1"
"6B2683A1","20250627","1"
"6B2683A1","20250701","1"
"6B2683A1","20250702","1"
"6B2683A1","20250703","1"
"6B2683A1","20250708","1"
"6B2683A1","20250709","1"
"6B2683A1","20250710","1"
"6B2683A1","20250711","1"
"6B2683A1","20250715","1"
"6B2683A1","20250716","1"
"6B2683A1","20250717","1"
"6B2683A1","20250718","1"
"6B2683A1","20250722","1"
"6B2683A1","20250723","1"
"6B2683A1","20250724","1"
"6B2683A1","20250725","1"
"6B2683A1","20250729","1"
"6B2683A1","20250730","1"
"6B2683A1","20250731","1"
"6B2683A1","20250801","1"
"6B2683A1","20250805","1"
"6B2683A1","20250806","1"
"6B2683A1","20250807","1"
"6B2683A1","20250808","1"
"6B2683A1","20250812","1"
"6B2683A1","20250813","1"
"6B2683A1","20250814","1"
"6B2683A1","20250815","1"
"6B2683A1","20250819","1"
"6B2683A1","20250820","1"
"6B2683A1","20250821","1"
"6B2683A1","20250822","1"
"6B2683A1","20250826","1"
"6B2683A1","20250827","1"
"6B2683A1","20250828","1"
"6B2683A1","20250829","1"
"B5043C72","20250604","1"
"B5043C72","20250605","1"
"B5043C72","20250609","1"
"B5043C72","20250610","1"
"B5043C72","20250611","1"
"B5043C72","20250612","1"
"B5043C72","20250616","1"
"B5043C72","20250617","1"
"B5043C72","20250618","1"
"B5043C72","20250619","1"
"B5043C72","20250623","1"
"B5043C72","20250624","1"
"B5043C72","20250625","1"
"B5043C72","20250626","1"
"B5043C72","20250630","1"
"B5043C72","20250701","1"
"B5043C72","20250702","1"
"B5043C72","20250707","1"
"B5043C72","20250708","1"
"B5043C72","20250709","1"
"B5043C72","20250710","1"
"B5043C72","20250714","1"
"B5043C72","20250715","1"
"B5043C72","20250716","1"
"B5043C72","20250717","1"
"B5043C72","20250721","1"
"B5043C72","20250722","1"
"B5043C72","20250723","1"
"B5043C72","20250724","1"
"B5043C72","20250728","1"
"B5043C72","20250729","1"
"B5043C72","20250730","1"
"B5043C72","20250731","1"
"B5043C72","20250804","1"
"B5043C72","20250805","1"
"B5043C72","20250806","1"
"B5043C72","20250807","1"
"B5043C72","20250811","1"
"B5043C72","20250812","1"
"B5043C72","20250813","1"
"B5043C72","20250814","1"
"B5043C72","20250818","1"
"B5043C72","20250819","1"
"B5043C72","20250820","1"
"B5043C72","20250821","1"
"B5043C72","20250825","1"
"B5043C72","20250826","1"
"B5043C72","20250827","1"
"B5043C72","20250828","1"
"6888A6F8","20250604","1"
"6888A6F8","20250609","1"
"6888A6F8","20250610","1"
"6888A6F8","20250611","1"
"6888A6F8","20250616","1"
"6888A6F8","20250617","1"
"6888A6F8","20250618","1"
"6888A6F8","20250623","1"
"6888A6F8","20250624","1"
"6888A6F8","20250625","1"
"6888A6F8","20250630","1"
"6888A6F8","20250701","1"
"6888A6F8","20250707","1"
"6888A6F8","20250708","1"
"6888A6F8","20250709","1"
"6888A6F8","20250714","1"
"6888A6F8","20250715","1"
"6888A6F8","20250716","1"
"6888A6F8","20250721","1"
"6888A6F8","20250722","1"
"6888A6F8","20250723","1"
"6888A6F8","20250728","1"
"6888A6F8","20250729","1"
"6888A6F8","20250730","1"
"6888A6F8","20250804","1"
"6888A6F8","20250805","1"
"6888A6F8","20250806","1"
"6888A6F8","20250811","1"
"6888A6F8","20250812","1"
"6888A6F8","20250813","1"
"6888A6F8","20250818","1"
"6888A6F8","20250819","1"
"6888A6F8","20250820","1"
"6888A6F8","20250825","1"
"6888A6F8","20250826","1"
"6888A6F8","20250827","1"
"0D9CDAE1","20250608","1"
"0D9CDAE1","20250615","1"
"0D9CDAE1","20250622","1"
"0D9CDAE1","20250629","1"
"0D9CDAE1","20250706","1"
"0D9CDAE1","20250713","1"
"0D9CDAE1","20250720","1"
"0D9CDAE1","20250727","1"
"0D9CDAE1","20250803","1"
"0D9CDAE1","20250810","1"
"0D9CDAE1","20250817","1"
"0D9CDAE1","20250824","1"
"0D9CDAE1","20250901","1"
"BA04E742","20250607","1"
"BA04E742","20250614","1"
"BA04E742","20250621","1"
"BA04E742","20250628","1"
"BA04E742","20250704","1"
"BA04E742","20250712","1"
"BA04E742","20250719","1"
"BA04E742","20250726","1"
"BA04E742","20250802","1"
"BA04E742","20250809","1"
"BA04E742","20250816","1"
"BA04E742","20250823","1"
"BA04E742","20250830","1"
"7F0A7456","20250607","1"
"7F0A7456","20250614","1"
"7F0A7456","20250621","1"
"7F0A7456","20250628","1"
"7F0A7456","20250704","1"
"7F0A7456","20250705","1"
"7F0A7456","20250712","1"
"7F0A7456","20250719","1"
"7F0A7456","20250726","1"
"7F0A7456","20250802","1"
"7F0A7456","20250809","1"
"7F0A7456","20250816","1"
"7F0A7456","20250823","1"
"7F0A7456","20250830","1"
"7F0A7456","20250831","1"
"D6FBD819","20250606","1"
"D6FBD819","20250613","1"
"D6FBD819","20250620","1"
"D6FBD819","20250623","1"
"D6FBD819","20250624","1"
"D6FBD819","20250625","1"
"D6FBD819","20250626","1"
"D6FBD819","20250627","1"
"D6FBD819","20250630","1"
"D6FBD819","20250701","1"
"D6FBD819","20250702","1"
"D6FBD819","20250703","1"
"D6FBD819","20250707","1"
"D6FBD819","20250708","1"
"D6FBD819","20250709","1"
"D6FBD819","20250710","1"
"D6FBD819","20250711","1"
"D6FBD819","20250714","1"
"D6FBD819","20250715","1"
"D6FBD819","20250716","1"
"D6FBD819","20250717","1"
"D6FBD819","20250718","1"
"D6FBD819","20250721","1"
"D6FBD819","20250722","1"
"D6FBD819","20250723","1"
"D6FBD819","20250724","1"
"D6FBD819","20250725","1"
"D6FBD819","20250728","1"
"D6FBD819","20250729","1"
"D6FBD819","20250730","1"
"D6FBD819","20250731","1"
